parent,tag,category,label
-, a,-,ضد عملیات روانی ( اقدام خودی)
-,b,-,عملیات روانی علیه آجا و نیرو های مسلح
-,c,-,شایعه مرتبط با آجا
ضد عملیات روانی ( اقدام خودی),a1,متفرقه,مصاحبه سخنرانی ( در تمجید از آجا ،‌دارای بازتاب مثبت یا بری مقابه با عملیات روانی دشمن) 
ضد عملیات روانی ( اقدام خودی),a2,متفرقه,همایش ،‌جلسه ، کارگاه، کلاس و ... پیرامون عملیات روانی
ضد عملیات روانی ( اقدام خودی),a3,متفرقه,اقدام رسانه ای ( در تمجید آجا) 
عملیات روانی علیه آجا و نیرو های مسلح,b1,سیاسی,اقدام رسانه ای ( در تخریب آجا) 
عملیات روانی علیه آجا و نیرو های مسلح,b2,مالی,بزرگنمایی مشکلات اعتباری آجا (کمبود بودجه ، جیره مواد غذایی و ...) 
عملیات روانی علیه آجا و نیرو های مسلح,b3,مالی,بزرگنمایی مشکلات تجهیزات یگان های آجا ( فرسودگی ، ناکارآمدی و ...)
عملیات روانی علیه آجا و نیرو های مسلح,b4,مالی,بزرگنمایی مشکلات منازل سازمانی آجا
عملیات روانی علیه آجا و نیرو های مسلح,b5,سیاسی,القائ وجود مشکلات عقیدتی کارکنان و ناکارآمدی عقیدتی سیاسی در یگان های آجا 
عملیات روانی علیه آجا و نیرو های مسلح,b6,سیاسی,تخریب نهادهای نظارتی ( حفا ، عقیدتی و سیاسی ) القائ وجود فساد و ناکارآمدی آن ها
عملیات روانی علیه آجا و نیرو های مسلح,b7,سیاسی,تلاش برای ایجاد رعب و وحشت یا تخریب روحیه کارکنان ( حمله به یگان های آجا توسط گروهک ها و ... ) 
عملیات روانی علیه آجا و نیرو های مسلح,b8,سیاسی,بزرگنمایی سوئ مدیریت ها و ضعف ها در آجا ( انتصابات ، جابجایی و ...)
عملیات روانی علیه آجا و نیرو های مسلح,b9,سیاسی,القائ وجود شکاف بین آجا و نظام 
عملیات روانی علیه آجا و نیرو های مسلح,b10,سیاسی,تلاش برای اختلاف افکنی بین ارتش و سایر نهاد ها یا القای وجود اختلاف بین آن ها 
عملیات روانی علیه آجا و نیرو های مسلح,b11,سیاسی,القای وجود رانت و فساد در آجا
عملیات روانی علیه آجا و نیرو های مسلح,b12,سیاسی,اعتمادزدایی و تخریب عملکرد و وجهه فرماندهان و مسئولین ارشد آجا ( ستاد آجا و نیروها)
عملیات روانی علیه آجا و نیرو های مسلح,b13,سیاسی,اعتمادزدایی و تخریب عملکرد وجهه سایر فرماندهان آجا ( فرماندهان قرارگاه به پایین) 
عملیات روانی علیه آجا و نیرو های مسلح,b14,سیاسی,تحریک کارکنان برای اقدام علیه نظام ( شرکت در اغتششات، کمک به اغتشاگران و ...)
عملیات روانی علیه آجا و نیرو های مسلح,b15,مالی,بزرگنمایی و ترویج نارضایتی کارکنان آجا از وضعیت معیشت و حقوق 
عملیات روانی علیه آجا و نیرو های مسلح,b16,سیاسی,اعتباربخشی به ارتش و فرماندهان ارتشی قبل از انقلاب
عملیات روانی علیه آجا و نیرو های مسلح,b17,سیاسی,القائ وجود اختلاف بین فرماندهان و کارکنان آجا
عملیات روانی علیه آجا و نیرو های مسلح,b18,سیاسی,تحریک و تشویق کارکنان یا خانواده آنان برای اقدام به اعتراض، تجمع یا تحصن 
عملیات روانی علیه آجا و نیرو های مسلح,b19,سیاسی,سایر موارد مرتبط با عملیات روانی
عملیات روانی علیه آجا و نیرو های مسلح,b20,سیاسی,عملیات روانی علیه سایر ن.م
شایعه مرتبط با آجا,c1,مالی,شایعه پیرامون حقوق و مزایا ( فوق العاده، حق ماموریت، بودجه ، اعتبار و ...)
شایعه مرتبط با آجا,c2,سیاسی,شایعه پیرامون ماموریت های یگان ( جابجایی ،اعزام ، انجماد ، انحلال و ...)
شایعه مرتبط با آجا,c3,سیاسی,شایعه پیرامون بازنشستگی و امور مربوط به بازنشستگان
شایعه مرتبط با آجا,c4,سیاسی, شایعه پیرامون  تغییر یا انتصاب فرماندهان ارشد آجا ( هیئت رئیسه آجا و نیرو ها )
شایعه مرتبط با آجا,c5,سیاسی,شایعه پیرامون تغییر یا انتصاب فرماندهان میانی یگان های آجا
شایعه مرتبط با آجا,c6,سیاسی,شایعه پیرامون تهدیدات امنیتی یا بروز درگیری های نظامی
شایعه مرتبط با آجا,c7,سیاسی,شایعه پیرامون برگزاری تجمع یا شرکت در اعتششات و ناآرامی ها 
شایعه مرتبط با آجا,c8,سیاسی,شایعه پیرامون  وضعیت کارکنان وظیفه 
شایعه مرتبط با آجا,c9,سیاسی,شایعه پیرامون سایر موارد متفرقه
